WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Tura,IN,25.5198,90.2201,87.28,54,90,6.38,overcast clouds
152,Havoysund,NO,70.9963,24.6622,32.23,78,37,8.43,scattered clouds
153,Dillon,US,34.4166,-79.3712,65.1,95,22,7.78,few clouds
154,Gornyy,RU,55.1153,83.9059,34.77,99,90,10.36,overcast clouds
155,Chokurdakh,RU,70.6333,147.9167,2.37,92,93,1.57,overcast clouds
156,Agadez,NE,19.75,10.25,85.66,9,44,14.18,scattered clouds
157,Tuatapere,NZ,-46.1333,167.6833,48.87,83,63,4.85,broken clouds
158,Itarema,BR,-2.9248,-39.9167,76.06,87,34,6.02,scattered clouds
159,Broome,US,42.2506,-75.833,49.68,62,20,3.44,few clouds
160,Moose Factory,CA,51.2585,-80.6094,28.4,80,0,6.91,clear sky
161,Ust-Kulom,RU,61.6864,53.6902,39.69,99,100,5.77,overcast clouds
162,Methoni,GR,36.8197,21.7049,63.21,64,98,2.19,overcast clouds
163,Isangel,VU,-19.55,169.2667,79.23,82,14,5.99,few clouds
164,Ponta Do Sol,PT,32.6667,-17.1,64.71,81,87,2.59,overcast clouds
165,Middelburg,ZA,-25.7751,29.4648,64.44,60,1,7.05,clear sky
166,Plouzane,FR,48.3833,-4.6167,53.92,87,100,5.75,overcast clouds
167,Swellendam,ZA,-34.0226,20.4417,67.57,72,14,2.13,few clouds
168,Loralai,PK,30.3705,68.598,82.58,6,34,2.77,scattered clouds
169,Marzuq,YE,14.4,46.4667,88.66,12,0,13.47,clear sky
170,Iracoubo,GF,5.4802,-53.2011,76.59,88,75,12.77,broken clouds
171,Dullewala,PK,31.8359,71.4362,98.04,16,48,9.24,scattered clouds
172,Srivardhan,IN,18.0333,73.0167,90.18,49,39,8.19,scattered clouds
173,Zhaodong,CN,46.0833,125.9833,55.0,15,8,7.85,clear sky
174,Awjilah,LY,29.1081,21.2869,66.81,27,99,17.31,overcast clouds
175,Tahta,EG,26.7693,31.5021,65.73,39,0,17.69,clear sky
176,Sawakin,SD,19.1059,37.3321,82.89,66,55,8.81,broken clouds
177,Tiksi,RU,71.6872,128.8694,-0.45,93,100,5.26,overcast clouds
178,Harper,LR,4.375,-7.7169,79.63,86,34,9.13,scattered clouds
179,Beni Mazar,EG,28.4962,30.8029,63.25,44,20,18.79,few clouds
180,Petropavl,KZ,54.8753,69.1628,58.98,26,0,29.08,clear sky
181,Takayama,JP,36.1333,137.25,65.98,75,100,5.06,overcast clouds
182,Codrington,AU,-38.2667,141.9667,62.06,70,0,11.05,clear sky
183,Saint-Augustin,CA,51.226,-58.6502,28.49,88,99,8.5,overcast clouds
184,Singaraja,ID,-8.112,115.0882,85.3,66,45,3.87,scattered clouds
