WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
391,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,36.93,99,100,7.45,overcast clouds
392,Chapais,CA,49.7834,-74.8492,31.78,90,14,7.7,few clouds
393,Luau,AO,-10.7073,22.2247,67.28,92,100,3.04,overcast clouds
394,Lorengau,PG,-2.0226,147.2712,85.48,71,99,10.07,overcast clouds
395,Jiuquan,CN,39.7432,98.5174,60.04,7,82,12.68,broken clouds
396,Qaqortoq,GL,60.7167,-46.0333,31.46,76,95,3.87,overcast clouds
397,Xining,CN,36.6167,101.7667,51.58,43,87,10.16,overcast clouds
398,Rovaniemi,FI,66.5,25.7167,33.21,93,100,4.61,overcast clouds
399,Notse,TG,6.95,1.1667,75.29,93,100,3.56,overcast clouds
400,Magdagachi,RU,53.45,125.8,42.42,25,94,9.46,overcast clouds
401,Villa Carlos Paz,AR,-31.4241,-64.4978,49.39,10,0,5.01,clear sky
402,Kamloops,CA,50.6665,-120.3192,36.59,51,20,9.22,few clouds
403,Mayo,US,38.8876,-76.5119,79.21,66,0,9.22,clear sky
404,Umm Kaddadah,SD,13.6017,26.6876,82.58,10,18,22.37,few clouds
405,Coihaique,CL,-45.5752,-72.0662,47.01,87,0,3.44,clear sky
406,Jacareacanga,BR,-6.2222,-57.7528,71.87,99,100,1.19,overcast clouds
407,Villanueva De Cordoba,ES,38.3228,-4.6287,43.14,94,6,5.17,clear sky
408,Kavaratti,IN,10.5669,72.642,80.56,78,100,13.42,overcast clouds
409,Sabha,LY,27.0377,14.4283,78.96,13,1,17.92,clear sky
410,Surt,LY,31.2089,16.5887,67.62,34,85,23.24,overcast clouds
411,Jalingo,NG,8.8833,11.3667,79.48,73,99,7.23,overcast clouds
412,La Primavera,CO,5.4906,-70.4092,84.31,52,78,4.41,broken clouds
413,Port Moresby,PG,-9.4431,147.1797,89.02,66,40,11.5,haze
414,Taltal,CL,-25.4,-70.4833,59.4,83,28,2.37,scattered clouds
415,Asfi,MA,32.2994,-9.2372,55.02,86,3,17.49,clear sky
416,Alghero,IT,40.5589,8.3181,50.09,66,20,4.61,few clouds
417,Los Algarrobos,PA,8.5,-82.4333,75.49,79,59,3.38,broken clouds
418,Mountain Home,US,43.133,-115.6912,31.48,100,40,8.05,scattered clouds
419,Moscow,RU,55.7522,37.6156,39.43,78,67,11.34,broken clouds
420,Umba,RU,66.6871,34.3429,30.67,94,100,4.09,overcast clouds
421,Kupang,ID,-10.1667,123.5833,83.37,76,79,4.12,broken clouds
422,Golden,US,39.7555,-105.2211,32.52,54,75,6.91,broken clouds
423,Sao Sebastiao Do Cai,BR,-29.5867,-51.3756,66.02,92,98,1.68,overcast clouds
424,Fortuna,US,40.5982,-124.1573,46.98,91,100,16.11,moderate rain
425,Washougal,US,45.5826,-122.3534,39.88,93,100,13.0,overcast clouds
426,Dorgos,RO,46.05,21.8333,38.66,53,8,5.06,clear sky
427,Eenhana,NA,-17.4667,16.3333,65.91,86,100,3.85,overcast clouds
428,Grindavik,IS,63.8424,-22.4338,46.87,87,100,32.21,light intensity drizzle
429,Tabas,IR,33.5959,56.9244,89.22,9,9,7.14,clear sky
430,Whyalla,AU,-33.0333,137.5833,69.69,78,100,6.91,light rain
431,Prince Rupert,CA,54.3161,-130.3201,40.69,47,0,8.05,clear sky
432,Port Alberni,CA,49.2413,-124.8028,44.44,89,100,1.99,overcast clouds
433,Ndele,CF,8.4109,20.6473,79.16,63,99,5.26,overcast clouds
434,Tanda,IN,26.55,82.65,107.98,6,14,10.0,few clouds
435,Gainesville,US,29.6516,-82.3248,70.95,73,0,0.0,clear sky
436,Fukue,JP,32.6881,128.8419,61.16,100,75,13.8,light intensity shower rain
437,Gari,RU,59.4307,62.3497,50.16,76,88,6.4,overcast clouds
438,Owando,CG,-0.4819,15.8999,72.1,96,100,1.83,light rain
439,Houma,US,29.5958,-90.7195,70.0,93,100,10.36,heavy intensity rain
440,Vangaindrano,MG,-23.35,47.6,76.73,85,84,6.98,light rain
441,Mazagao,BR,-0.115,-51.2894,77.05,99,100,2.44,overcast clouds
442,Kysyl-Syr,RU,63.8986,122.7617,31.69,98,100,5.41,light snow
443,Alice Springs,AU,-23.7,133.8833,96.35,13,1,10.36,clear sky
444,Padang,ID,-0.9492,100.3543,89.65,65,63,7.27,broken clouds
445,Bahia Blanca,AR,-38.7196,-62.2724,53.44,74,0,3.78,clear sky
446,Tiksi,RU,71.6872,128.8694,4.42,91,100,9.62,overcast clouds
447,Qidong,CN,31.8128,121.6561,57.92,93,97,14.97,overcast clouds
448,La Ronge,CA,55.1001,-105.2842,21.45,63,100,13.8,overcast clouds
449,Forrest City,US,35.0081,-90.7898,44.17,85,81,9.78,broken clouds
450,Port Augusta,AU,-32.5,137.7667,75.74,42,95,19.04,light rain
451,Inuvik,CA,68.3499,-133.7218,0.46,78,0,5.75,clear sky
452,Kahului,US,20.8947,-156.47,78.82,66,40,12.66,scattered clouds
453,Sabak,MY,3.7675,100.9875,86.45,72,100,7.94,overcast clouds
454,Palora,EC,-1.7,-77.9333,64.65,97,100,2.37,light rain
455,Veriora,EE,58.0079,27.3551,42.37,62,90,3.09,overcast clouds
456,Manama,BH,26.2154,50.5832,84.38,54,77,9.22,broken clouds
457,Bull Savanna,JM,17.8868,-77.5902,73.13,85,14,9.82,few clouds
458,Nove Mesto Pod Smrkem,CZ,50.9249,15.2294,52.72,62,92,4.36,overcast clouds
459,Turan,VN,16.0678,108.2208,89.58,62,20,3.44,few clouds
460,Tikhvin,RU,59.6451,33.5294,39.4,73,84,1.5,broken clouds
461,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,51,0,10.36,clear sky
462,Bengkulu,ID,-3.8004,102.2655,84.96,65,67,6.76,broken clouds
463,Oromocto,CA,45.8351,-66.4792,45.72,68,100,2.3,overcast clouds
464,Japura,ID,-0.3167,102.35,89.89,59,99,1.99,overcast clouds
465,Kerns,CH,46.9009,8.2765,52.23,88,20,4.61,few clouds
466,Asau,RO,46.4333,26.4,47.32,64,97,3.2,overcast clouds
467,Saint-Georges,GD,12.0564,-61.7485,78.48,78,20,14.97,few clouds
468,Port Hawkesbury,CA,45.6169,-61.3485,34.18,98,100,3.44,fog
469,Weligama,LK,5.9667,80.4167,86.86,64,67,7.43,broken clouds
470,Battle Creek,US,42.3212,-85.1797,61.66,88,100,14.97,light rain
471,Camocim,BR,-2.9022,-40.8411,75.78,91,99,7.0,overcast clouds
472,Pula,HR,44.8683,13.8481,39.76,87,0,3.44,clear sky
473,Dnestrovsc,MD,46.6222,29.9133,48.9,72,97,16.78,overcast clouds
474,Kiruna,SE,67.8557,20.2251,18.52,93,20,2.3,few clouds
475,Barra Dos Coqueiros,BR,-10.9089,-37.0386,82.42,78,75,6.91,broken clouds
476,Payo,ID,-3.7508,103.6372,89.47,58,66,3.15,broken clouds
477,Mangrol,IN,21.1167,70.1167,88.39,46,0,12.8,clear sky
478,Tombouctou,ML,20.0,-3.0,75.56,13,2,14.32,clear sky
479,Harper,LR,4.375,-7.7169,77.54,87,99,7.87,overcast clouds
480,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,91,0,19.57,clear sky
481,Shingu,JP,33.7333,135.9833,69.28,87,81,8.7,broken clouds
482,Caravelas,BR,-17.7125,-39.2481,75.31,91,15,5.75,few clouds
483,Cayenne,GF,4.9333,-52.3333,79.09,1,75,8.05,broken clouds
484,Pouebo,NC,-20.4,164.5667,77.86,78,28,4.9,scattered clouds
485,Hirara,JP,24.8,125.2833,80.87,69,40,12.66,scattered clouds
486,Jibuti,DJ,11.5,42.5,84.67,34,7,14.54,clear sky
487,Gambela,ET,8.25,34.5833,86.61,49,93,5.06,overcast clouds
